Date,area,apartment_or_house,street_name,time,total,tip,tip_method,hours_worked,position_worked
10/8/20,11,H,cottonweed Trl,NA,41.06,0,write in,4.75,Late
10/8/20,MAIN,A,350 Cypress Creek,NA,26.48,5.3,pre-tip,4.75,Late
10/8/20,5,H,Tattler Dr,NA,21,3.15,pre-tip,4.75,Late
10/8/20,15,A,Altis,NA,14.05,5,pre-tip,4.75,Late
10/8/20,12,H,Casey Cv,NA,23.78,2.38,pre-tip,4.75,Late
10/8/20,MAIN,A,2800 Lakeline,NA,25.95,3.89,pre-tip,4.75,Late
10/8/20,MAIN,A,32018 El Salido,NA,21.08,3.92,cash order,4.75,Late
10/8/20,15,A,Altis,NA,17.3,5,write in,4.75,Late
10/8/20,15,A,Altis,NA,16.21,0,write in,4.75,Late
10/8/20,14,A,12600 Avery Ranch,NA,22.15,3.32,pre-tip,4.75,Late
10/8/20,14,A,12600 Avery Ranch,NA,20.53,2.05,pre-tip,4.75,Late
10/8/20,MAIN,A,350 Cypress Creek,NA,19.46,1.98,pre-tip,4.75,Late
10/8/20,9,H,Sandra Cv,NA,46.5,6.97,pre-tip,4.75,Late
10/8/20,MAIN,A,2850 Lakeline,NA,17.56,3.51,pre-tip,4.75,Late
10/9/20,4,H,Somerset Canyon Ln,5:04,36.74,3.67,pre-tip,9,Close
10/9/20,2,H,Star Light Cir,5:27,19.46,3.89,pre-tip,9,Close
10/9/20,6,H,Izoro Bnd,NA,20.55,3.08,pre-tip,9,Close
10/9/20,8,H,Orsobello Pl,NA,25.4,4.6,pre-tip,9,Close
10/9/20,9,H,Lobelia Dr,6:01,19.45,1.95,pre-tip,9,Close
10/9/20,7,H,Granite Basin Ct,6:15,21.08,4,pre-tip,9,Close
10/9/20,1,H,Coomes Pl,6:31,22.7,4.54,pre-tip,9,Close
10/9/20,14,H,Riveria Dr,6:53,16.21,3.79,pre-tip,9,Close
10/9/20,16,H,Hickory Run Dr,7:14,29.17,2,pre-tip,9,Close
10/9/20,MAIN,A,350 Cypress Creek,7:28,17.3,2.6,pre-tip,9,Close
10/9/20,MAIN,A,350 Cypress Creek,7:28,22.14,5,write in,9,Close
10/9/20,12,H,Clover Ridge Dr,7:48,43.26,8.65,pre-tip,9,Close
10/9/20,4,H,Catamaran Cv,8:03,22,2,pre-tip,9,Close
10/9/20,13,H,Dandridge Dr,8:13,38.36,5,pre-tip,9,Close
10/9/20,1,H,Culpepper Ln,8:41,22.16,4.43,pre-tip,9,Close
10/9/20,5,H,Dartford Bnd,9:01,16.21,3,pre-tip,9,Close
10/9/20,NA,A,11908 Anderson Mill ,9:27,8.11,2,write in,9,Close
10/9/20,15,A,13010 Ridgeline Blvd,9:45,26.47,2.65,pre-tip,9,Close
10/9/20,2,H,Harvest Moon Dr,10:02,50.24,7.54,pre-tip,9,Close
10/9/20,MAIN,A,2000 Lakeline,10:10,45.43,5,pre-tip,9,Close
10/9/20,MAIN,A,2201 Lakeline ,10:10,25.68,2.57,pre-tip,9,Close
10/9/20,NA,A,1600 Lakeline,NA,19.44,2.65,cash order,9,Close
10/9/20,MAIN,A,2101 Lakeline,10:54,42.17,8.43,pre-tip,9,Close
10/9/20,11,H,Fox Sparrow Trl,10:54,21.09,3.16,pre-tip,9,Close
10/9/20,15,A,13010 Ridgeline Blvd,10:54,15.67,3.31,pre-tip,9,Close
10/9/20,11,H,Black Cherry Dr,11:39,19.72,5,pre-tip,9,Close
10/9/20,MAIN,A,2000 Lakeline,NA,20.52,4.48,cash order,9,Close
10/9/20,15,A,12538 Ridgeline Blvd,12:47,28.11,3,pre-tip,9,Close
10/10/20,2,H,Rachel Rdg,NA,45.97,6.9,pre-tip,3,Rush
10/10/20,14,A,12600 Avery Ranch,6:08,22.69,4.54,pre-tip,3,Rush
10/10/20,MAIN,A,2801 Lakeline,6:27,22.69,4.54,pre-tip,3,Rush
10/10/20,MAIN,A,2201 Lakeline ,6:54,12.16,4,pre-tip,3,Rush
10/10/20,7,H,Feathergrass Ct,7:13,32.43,4.86,pre-tip,3,Rush
10/10/20,3,H,Checker Dr,7:30,36.5,5.5,pre-tip,3,Rush
10/10/20,MAIN,A,2801 Lakeline,7:46,20.55,3.08,pre-tip,3,Rush
10/10/20,13,H,Valley Pike Rd,8:03,18.38,1.84,pre-tip,3,Rush
10/10/20,MAIN,A,2850 Lakeline,8:33,17.83,2.67,pre-tip,3,Rush
10/11/20,16,H,Harvest Bend Ln,5:03,22.7,2,write in,3,Rush
10/11/20,2,H,Rachel Rdg,5:19,35.69,3.57,pre-tip,3,Rush
10/11/20,MAIN,A,2214 Lakeline,5:45,25.95,3.89,pre-tip,3,Rush
10/11/20,MAIN,A,2000 Lakeline,6:00,19.98,2,pre-tip,3,Rush
10/11/20,12,H,Portwood Bend Cv,6:17,24.87,4.97,pre-tip,3,Rush
10/11/20,9,H,Mackenzie Ln,6:34,23.78,2.28,pre-tip,3,Rush
10/11/20,15,A,Altis,6:53,34.87,6.97,pre-tip,3,Rush
10/11/20,14,A,12600 Avery Ranch,7:13,22.71,2.27,pre-tip,3,Rush
10/11/20,16,H,Farrington Ct,7:47,3.24,4,pre-tip,3,Rush
10/15/20,7,H,Hidden Hills Ln,5:28,15.67,3.13,pre-tip,4.75,Late
10/15/20,3,H,Melekhin Bnd,5:59,12.97,2,write in,4.75,Late
10/15/20,NA,A,1600 Lakeline,6:12,16.21,2.43,pre-tip,4.75,Late
10/15/20,11,H,Heppner Dr,6:23,4.86,2,pre-tip,4.75,Late
10/15/20,7,H,Crystal Hill Dr,6:37,29.73,5.95,pre-tip,4.75,Late
10/15/20,MAIN,A,2850 Lakeline,6:54,32.03,6.41,pre-tip,4.75,Late
10/15/20,4,H,Bent Bow Cv,7:15,17.3,10,write in,4.75,Late
10/15/20,NA,A,11908 Anderson Mill ,7:23,22.69,4,write in,4.75,Late
10/15/20,6,H,Yalding Dr,7:48,3.35,5,pre-tip,4.75,Late
10/15/20,MAIN,A,2304 Lakeline,8:03,21.35,3.2,pre-tip,4.75,Late
10/15/20,11,H,Mimosa Pass,8:16,21.61,3.24,pre-tip,4.75,Late
10/15/20,14,H,Orleans Dr,NA,3.24,1.76,cash order,4.75,Late
10/15/20,10,H,Cortez,9:18,25.95,3.89,pre-tip,4.75,Late
10/16/20,4,H,Azalea Dr,5:48,22.16,3.32,pre-tip,4.25,Late
10/16/20,4,H,Bald Cypress Cv,5:48,16.21,3.24,pre-tip,4.25,Late
10/16/20,4,H,Autumn Fire Dr,6:04,19.72,7,pre-tip,4.25,Late
